t,p_1,p_2,mob_A,imm_A,diss_A,seal_A,mob_B,imm_B,diss_B,seal_B,M_C,total_CO2_mass
110400,111846,105255,0.00145846,0,0.002220594,0.000342558,1.08E-05,0,0.002081234,5.83E-05,0.744071098,0.009274
111000,111844,105255,0.00145481,0,0.002226853,0.000343179,1.07E-05,0,0.002078334,5.80E-05,0.746093113,0.009275
111600,111842,105255,0.00145117,0,0.002233129,0.000343807,1.06E-05,0,0.002075455,5.77E-05,0.748087425,0.009275
112200,111839,105255,0.00144756,0,0.002239399,0.000344399,1.05E-05,0,0.002072652,5.73E-05,0.750122243,0.009275
112800,111837,105255,0.00144406,0,0.00224558,0.000345001,1.04E-05,0,0.002069828,5.70E-05,0.752109922,0.009275
113400,111835,105255,0.00144051,0,0.002251787,0.000345611,1.03E-05,0,0.002066999,5.67E-05,0.754063592,0.009276
114000,111833,105255,0.00143684,0,0.002258093,0.00034623,1.02E-05,0,0.002064179,5.64E-05,0.755969822,0.009276
114600,111832,105255,0.00143365,0,0.002264051,0.000346861,1.01E-05,0,0.00206136,5.61E-05,0.757833262,0.009276
115200,111831,105255,0.00143062,0,0.002269753,0.000347498,1.00E-05,0,0.002058637,5.57E-05,0.759720298,0.009276
115800,111829,105255,0.00142732,0,0.002275581,0.000348142,9.96E-06,0,0.002055876,5.54E-05,0.761607253,0.009277
116400,111828,105255,0.00142394,0,0.002281502,0.000348795,9.87E-06,0,0.002053146,5.51E-05,0.763471312,0.009277
117000,111827,105255,0.00142027,0,0.002287632,0.00034946,9.78E-06,0,0.002050409,5.48E-05,0.765299732,0.009277
117600,111826,105255,0.00141663,0,0.002293721,0.000350131,9.69E-06,0,0.002047651,5.45E-05,0.767076947,0.009277
118200,111824,105255,0.00141316,0,0.002299755,0.000350808,9.60E-06,0,0.002044947,5.42E-05,0.76882498,0.009278
118800,111823,105255,0.00140959,0,0.002305846,0.000351492,9.51E-06,0,0.002042227,5.39E-05,0.770520248,0.009278
119400,111821,105255,0.00140597,0,0.002311994,0.000352183,9.42E-06,0,0.002039525,5.36E-05,0.772162279,0.009278
120000,111820,105255,0.00140235,0,0.002318181,0.000352891,9.32E-06,0,0.002036825,5.33E-05,0.77378959,0.009278
120600,111818,105255,0.00139858,0,0.002324441,0.000353602,9.23E-06,0,0.002034108,5.30E-05,0.77540435,0.009279
121200,111817,105255,0.00139496,0,0.002330604,0.000354319,9.13E-06,0,0.002031399,5.27E-05,0.777051952,0.009279
121800,111815,105255,0.00139135,0,0.0023367,0.000355038,9.03E-06,0,0.002028723,5.25E-05,0.77868797,0.009279
122400,111813,105255,0.00138784,0,0.002342743,0.000355783,8.94E-06,0,0.002026069,5.22E-05,0.780339059,0.009279
123000,111811,105255,0.00138416,0,0.002348932,0.000356534,8.84E-06,0,0.002023442,5.19E-05,0.782003022,0.00928
123600,111809,105255,0.00138044,0,0.002355102,0.00035729,8.74E-06,0,0.002020776,5.16E-05,0.783656469,0.00928
124200,111807,105255,0.00137669,0,0.002361314,0.000358053,8.64E-06,0,0.002018133,5.13E-05,0.785300054,0.00928
124800,111806,105255,0.00137292,0,0.002367553,0.000358791,8.53E-06,0,0.002015515,5.11E-05,0.786912737,0.00928
125400,111805,105255,0.00136896,0,0.002373916,0.00035952,8.44E-06,0,0.002012892,5.08E-05,0.78858577,0.009281
126000,111803,105255,0.00136516,0,0.002380198,0.000360254,8.35E-06,0,0.002010303,5.05E-05,0.790275982,0.009281
126600,111801,105255,0.00136139,0,0.002386431,0.000360997,8.25E-06,0,0.002007704,5.02E-05,0.7920169,0.009281
127200,111799,105255,0.00135756,0,0.002392693,0.000361747,8.16E-06,0,0.002005091,5.00E-05,0.793770409,0.009281
127800,111797,105255,0.00135369,0,0.002399005,0.000362505,8.06E-06,0,0.002002506,4.97E-05,0.795527557,0.009282
128400,111796,105255,0.00134968,0,0.002405438,0.000363271,7.97E-06,0,0.001999939,4.95E-05,0.797275177,0.009282
129000,111795,105255,0.00134566,0,0.002411853,0.000364045,7.87E-06,0,0.001997355,4.92E-05,0.798989655,0.009282
129600,111794,105255,0.0013414,0,0.002418482,0.000364825,7.77E-06,0,0.001994807,4.89E-05,0.800676803,0.009282
130200,111792,105255,0.00133733,0,0.002424973,0.000365614,7.67E-06,0,0.001992264,4.87E-05,0.802383563,0.009283
130800,111791,105255,0.00133324,0,0.002431439,0.000366407,7.56E-06,0,0.001989691,4.84E-05,0.804108995,0.009283
131400,111790,105255,0.00132908,0,0.002437965,0.000367174,7.46E-06,0,0.001987166,4.82E-05,0.805907097,0.009283
132000,111788,105255,0.00132524,0,0.002444178,0.000367948,7.35E-06,0,0.001984657,4.79E-05,0.807695933,0.009283
132600,111787,105255,0.00132137,0,0.002450446,0.000368728,7.25E-06,0,0.001982167,4.77E-05,0.809459544,0.009284
